Run,Players,Player,Satellites,Stations,ISL,Cost,Count,Min,Max,Avg,StdDev,StdErr,Total Cost,Total Value Avg,Total Value StdErr
1.SmallSat@MEO6|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,950,2,0,0,0,0,0,950,0,0
1.SmallSat@MEO6|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,1,1,false,1100,2,1300,1500,1400,100,70.71067811865474,1100,1400,301.68278041678144
1.SmallSat@MEO6|VIS|pSGL 1.GroundSta@SUR1|pSGL,1,0,1,1,false,1150,2,1200,1300,1250,50,35.35533905932737,1150,1250,196.0548392669765
1.MediumSat@MEO6|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1150,2,0,0,0,0,0,1150,0,0
1.MediumSat@MEO6|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1300,2,1300,1500,1400,100,70.71067811865474,1300,1400,301.68278041678144
1.MediumSat@MEO6|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1350,2,1200,1300,1250,50,35.35533905932737,1350,1250,196.0548392669765
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1350,2,1300,1500,1400,100,70.71067811865474,1350,1400,301.68278041678144
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1400,2,1200,1300,1250,50,35.35533905932737,1400,1250,196.0548392669765
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1550,2,1500,1550,1525,25,17.677669529663685,1550,1525,257.80928028292544
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,1,1,true,1750,2,1500,1550,1525,25,17.677669529663685,1750,1525,257.80928028292544
1.SmallSat@MEO6|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1350,2,0,0,0,0,0,1350,0,0
1.MediumSat@MEO6|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1550,2,0,0,0,0,0,1550,0,0
1.SmallSat@MEO6|SAR|pSGL 1.SmallSat@MEO5|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,2,1,false,1650,2,2900,3000,2950,50,35.35533905932737,1650,2950,549.3518908677752
1.SmallSat@MEO6|VIS|pSGL 1.SmallSat@MEO5|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,2,1,false,1700,2,2650,2850,2750,100,70.71067811865474,1700,2750,434.6873876707259
1.MediumSat@MEO6|SAR|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1700,2,1800,1900,1850,50,35.35533905932737,1700,1850,354.85912697858004
1.MediumSat@MEO6|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1750,2,0,0,0,0,0,1750,0,0
1.SmallSat@MEO6|VIS|pSGL 1.SmallSat@MEO5|VIS|pSGL 1.GroundSta@SUR1|pSGL,1,0,2,1,false,1750,2,2800,2950,2875,75,53.03300858899106,1750,2875,549.3177586788906
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1750,2,1800,1900,1850,50,35.35533905932737,1750,1850,354.85912697858004
1.MediumSat@MEO6|VIS|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1750,2,1750,1750,1750,0,0,1750,1750,310.7702125365299
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,1800,2,1750,1750,1750,0,0,1800,1750,310.7702125365299
